user_id,clip_id,weight
703680,155818,529.9095993414572
801034,674816,531.0455846852678
975852,181501,542.6588517446598
563786,589532,501.9037933992843
680731,173540,573.0563532618128
580347,467336,3755.5659256055537
510457,683627,2742.8217036615906
427619,139708,692.8051915425067
582638,111351,482.455640492159
677984,222168,70.9024120373434
763494,116583,882.0195298641121
565110,776827,484.7121002540505
229032,576192,0.0
789430,858686,0.0
792900,697735,399.01011749603754
806119,720021,165.00960352947027
185660,358492,1478.776506452025
703102,892846,2522.7723349934263
886976,359964,140.30813756332185
228705,744225,1057.5924437481185
685281,168036,294.2233417596675
457281,676985,1540.6011583486636
687507,79564,111.43494437252633
976288,853711,2122.572061394902
834376,660710,1830.8455741380865
652344,412048,554.0970068018888
567610,695522,935.4029762627722
757732,561824,1448.0704301828011
880154,289302,1863.8769242380995
87420,368515,78.12664462836202
656073,500298,1364.479369530502
233136,230551,1304.6065712228724
23425,168259,721.3840452080649
267531,712748,1154.679997140629
500785,600576,200.80886829749068
464862,681692,578.745740006424
175764,731273,0.0
485906,682351,4310.920639694556
564202,830738,922.445716856711
39784,432562,0.0
708871,945506,0.0
960886,124092,2845.4032307425646
617317,481574,2000.223316189335
432054,232504,439.3331211351182
888088,178147,0.0
827484,175115,1357.7633013203815
101403,810856,648.3251035462478
198599,930630,828.1108786985792
184614,885751,231.63536710889372
168685,991132,1059.8348668307856
360936,181501,0.0
594395,467336,1961.1824281947938
960230,944806,583.2539956190327
983077,453204,0.0
914527,19394,243.2823203229123
134594,361613,2637.875971962116
257737,322436,0.0
514611,742056,253.03437164872855
90287,46897,0.0
960206,155818,10.761514286784177
196165,323222,0.0
847891,545918,1208.1691073454786
927322,634974,1026.5831010065276
728367,610392,0.0
138760,354754,0.0
383577,43041,0.0
756469,203088,1048.6793862369782
263144,419839,517.1895761518967
688290,810856,602.1585163832433
229999,173540,828.9721858331291
873523,71619,195.26235661260242
826268,477242,194.84203705373181
196767,405050,2715.7326755154277
956139,429815,625.953928758013
853921,247498,746.825070731411
642482,209007,894.1590808140631
192054,947232,630.9143923810311
991436,950081,4498.55543293547
402936,359220,993.0175037802526
73483,343176,0.0
665395,696504,0.0
94128,191805,1124.4268757792297
733443,784640,0.0
145024,149616,952.5787409050006
87420,357060,135.0511288517636
939428,443963,1222.1555985357236
845022,172970,96.67664698704726
73989,442208,2710.349268372117
748236,43055,403.1385165815949
961715,780093,0.0
789805,753436,169.66080418382433
321379,361613,1042.9817718308814
298171,137151,0.0
473629,964047,2072.1083482427202
961018,278805,0.0
922821,845427,1295.503436018459
746758,543648,213.75518315749645
199796,923116,652.4600763269337
567276,361613,1737.013424296053
787431,76576,86.4139429419474
809388,421331,0.0
956839,530632,879.863557044514
645071,272457,435.76955873817167
497095,958530,30.247751915717117
303215,325011,581.4042825414466
616654,166845,1033.7476044868217
402769,429117,261.0067013381911
387838,789786,918.1858948608906
